CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
25NR12,19,10,4,1,0,0,Departamental,-77.545058,0.892933,-77.509711,0.892315,5632.53,16834.05,12503.78,22625.39,42275.71,44446.14,70,83,Departamental,0
1701,83,22,13,4,2,1,Departamental,-77.855415,0.802566,-77.79687,0.896256,15555.42,43180.22,33015,56274.9,100568.31,105401.91,230,84,Departamental,0
8851-1,36,6,29,12,1,1,Departamental,-75.521719,0.895927,-75.619748,0.885202,10985.09,30493.46,23314.88,39740.8,71020.39,74433.84,202,85,Departamental,0
52227,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.79687,0.896256,-77.791854,0.903479,833.81,2430.26,1889.64,3182.72,5268.95,5497.74,665000,86,Vía Municipal,0
08NR01,10,6,3,1,1,0,Departamental,-77.736639,0.862,-77.786331,0.904455,8642.96,23991.95,18343.91,31267.66,55878.13,58563.79,49,87,Departamental,0
52227,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.791854,0.903479,-77.789636,0.905752,274.49,800.04,622.07,1047.76,1734.55,1809.86,665000,88,Vía Municipal,0
52227,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.786331,0.904455,-77.789636,0.905752,311.5,907.89,705.93,1189,1968.37,2053.84,665000,89,Vía Municipal,0
25NR09,30,9,3,1,0,0,Departamental,-77.547199,0.893981,-77.545944,0.905855,2157.27,6447.48,4788.98,8665.57,16191.69,17022.97,75,90,Departamental,0
52210,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.545944,0.905855,-77.547618,0.908338,505.17,1472.39,1144.85,1928.28,3192.24,3330.85,665000,91,Vía Municipal,0
52227,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.789636,0.905752,-77.783804,0.911301,693.42,2021.07,1571.47,2646.84,4381.8,4572.07,665000,92,Vía Municipal,0
52210,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.547618,0.908338,-77.547962,0.911699,414.52,1208.17,939.41,1582.25,2619.4,2733.14,665000,93,Vía Municipal,0
